18980,"Cullman, AL",144,619504,643248,4.37
19020,"Culpeper, VA",64,274112,373512,40.15
19060,"Cumberland, MD-WV",240,816016,826392,0.66
19100,"Dallas-Fort Worth-Arlington, TX",10512,41296104,50974184,946.02
19140,"Dalton, GA",208,960448,1137816,18.31
19180,"Danville, IL",192,671432,653000,-2.91
19220,"Danville, KY",104,408104,425392,5.01
19260,"Danville, VA",256,880824,852488,-7.27
19300,"Daphne-Fairhope-Foley, AL",256,1123328,1458120,27.14
19340,"Davenport-Moline-Rock Island, IA-IL",832,3008544,3037520,1.11
19380,"Dayton, OH",1768,6786472,6732016,-0.98
19460,"Decatur, AL",288,1167208,1230632,4.24
19500,"Decatur, IL",272,917520,886144,-4.3
19540,"Decatur, IN",56,268840,275096,2.32
19580,"Defiance, OH",72,315960,312296,-1.02
19620,"Del Rio, TX",80,358672,391032,-0.78
19660,"Deltona-Daytona Beach-Ormond Beach, FL",912,3547096,3956744,14.5
19700,"Deming, NM",48,199888,200760,0.66
19740,"Denver-Aurora-Broomfield, CO",4968,17435760,20347856,617.34
19760,"DeRidder, LA",56,263584,285232,6.91
19780,"Des Moines-West Des Moines, IA",1048,3851168,4557064,38.51
19820,"Detroit-Warren-Livonia, MI",10408,35622216,34370000,-1.56
19860,"Dickinson, ND",72,188176,199856,3
19900,"Dillon, SC",48,245896,256496,3.51
19940,"Dixon, IL",72,288496,288248,-0.85
19980,"Dodge City, KS",56,259584,270784,1.46
20020,"Dothan, AL",272,1046584,1165112,8.8
20060,"Douglas, GA",96,360256,405848,11.35
20100,"Dover, DE",264,1014056,1298480,25.06
20140,"Dublin, GA",128,427136,467312,10.07
20180,"DuBois, PA",160,668448,653136,-2.85
20220,"Dubuque, IA",208,713064,749224,5.11
20260,"Duluth, MN-WI",696,2204536,2238168,-0.26
20300,"Dumas, TX",32,161000,175232,8.14
20340,"Duncan, OK",88,345632,360384,3.73
20380,"Dunn, NC",216,727840,917424,27.7
20420,"Durango, CO",80,351656,410672,15.21
20460,"Durant, OK",88,292192,339328,11.43
20500,"Durham-Chapel Hill, NC",864,3390768,4034856,23.31
20540,"Dyersburg, TN",64,298288,306680,4.24
20580,"Eagle Pass, TX",72,378280,434064,12.11
20620,"East Liverpool-Salem, OH",192,896408,862728,-4.81
20660,"Easton, MD",88,270448,302256,12.58
20700,"East Stroudsburg, PA",264,1109064,1358736,24.67
20740,"Eau Claire, WI",248,1186760,1289208,9.24
20780,"Edwards, CO",128,395512,476056,16.93
20820,"Effingham, IL",64,274136,273936,0
20900,"El Campo, TX",88,329520,330240,-0.26
20940,"El Centro, CA",248,1138672,1396224,32.19
20980,"El Dorado, AR",80,365064,333112,-9.14
21020,"Elizabeth City, NC",120,425144,512752,19.98
21060,"Elizabethtown, KY",208,847856,957888,285.11
21120,"Elk City, OK",32,158456,176952,10.14
21140,"Elkhart-Goshen, IN",288,1462304,1580472,7.66
21220,"Elko, NV",120,375592,406440,7.17
21260,"Ellensburg, WA",64,266952,327320,23.36
21300,"Elmira, NY",176,728912,710640,-3.21
21340,"El Paso, TX",1288,5436480,6405176,44.9
21380,"Emporia, KS",72,311712,291840,-6.15
21420,"Enid, OK",96,462488,484640,4.35
21460,"Enterprise-Ozark, AL",224,742096,801592,6.94
21500,"Erie, PA",576,2247304,2244528,-0.66
21540,"Escanaba, MI",104,308224,296552,-3.64
21580,"Espanola, NM",72,329376,321968,-2.11
21640,"Eufaula, AL-GA",80,253104,239760,-6.74
21660,"Eugene-Springfield, OR",696,2584080,2813720,9.05
21700,"Eureka-Arcata-Fortuna, CA",248,1012072,1076984,6.35
21740,"Evanston, WY",24,157920,168944,7.01
21780,"Evansville, IN-KY",712,2742600,2869408,1.97
21820,"Fairbanks, AK",152,662792,780648,15.51
21860,"Fairmont, MN",48,174432,166720,-5.21
21900,"Fairmont, WV",144,452840,451344,-0.5
21940,"Fajardo, PR",168,628208,565536,-8.46
21980,"Fallon, NV",56,191872,199016,-2.15
22020,"Fargo, ND-MN",368,1395184,1670216,16.83
22060,"Faribault-Northfield, MN",104,453304,513136,14.88
22100,"Farmington, MO",88,445144,522872,17.93
22140,"Farmington, NM",264,910496,1040352,18.46
22180,"Fayetteville, NC",616,2693472,2931064,137.35
22220,"Fayetteville-Springdale-Rogers, AR-MO",712,2776304,3705632,53.35
22260,"Fergus Falls, MN",136,456664,458424,0.99
22280,"Fernley, NV",80,276024,415840,56.29
22300,"Findlay, OH",104,570344,598256,5.36
22340,"Fitzgerald, GA",56,219328,217376,1.05
22380,"Flagstaff, AZ",224,930568,1075368,16.51
22420,"Flint, MI",1048,3489704,3406320,-2.95
22500,"Florence, SC",392,1545280,1644528,7.7
22520,"Florence-Muscle Shoals, AL",288,1143432,1177096,2.41
22540,"Fond du Lac, WI",160,778272,813064,2.73
22580,"Forest City, NC",104,503368,542480,8.25
22620,"Forrest City, AR",48,234608,226064,-6.57
22660,"Fort Collins-Loveland, CO",584,2011928,2397040,28.06
22700,"Fort Dodge, IA",96,321840,304104,-6.48
22780,"Fort Leonard Wood, MO",72,329376,418192,24.1
22800,"Fort Madison-Keokuk, IA-MO",112,363848,344008,-5.78
22820,"Fort Morgan, CO",64,217376,225272,2.72
22840,"Fort Payne, AL",112,515464,568872,9.45
22860,"Fort Polk South, LA",96,420312,418672,-1.82
22900,"Fort Smith, AR-OK",488,2185376,2388736,8.57
22980,"Fort Valley, GA",48,189512,221560,17.02
23060,"Fort Wayne, IN",880,3120752,3330056,8.72
23140,"Frankfort, IN",64,271032,265792,-2.39
23180,"Frankfort, KY",128,534352,565648,4.3
23240,"Fredericksburg, TX",40,166448,198696,21.78
23300,"Freeport, IL",104,391960,381688,-2.47
23340,"Fremont, NE",72,289200,293528,1.62
23380,"Fremont, OH",120,494376,487552,-1.58
23420,"Fresno, CA",1592,6390024,7443600,46.81
23460,"Gadsden, AL",240,827608,835440,-1.12
23500,"Gaffney, SC",104,420256,442736,4.02
23540,"Gainesville, FL",488,1859136,2114200,14.12
23580,"Gainesville, GA",288,1117048,1437472,41.49
23620,"Gainesville, TX",64,290928,307496,4.6
23660,"Galesburg, IL",168,596624,565008,-5.13
23700,"Gallup, NM",136,598368,571936,-5.1
23780,"Garden City, KS",96,324136,294208,-9.56
23820,"Gardnerville Ranchos, NV",136,329960,375976,13.35
23860,"Georgetown, SC",120,446576,481264,9.11
23900,"Gettysburg, PA",184,729640,811256,12.38
23940,"Gillette, WY",56,269640,369064,36.62
23980,"Glasgow, KY",104,384536,418176,9.04
24020,"Glens Falls, NY",288,994320,1031384,2.98
24100,"Gloversville, NY",120,440360,444248,0.45
24140,"Goldsboro, NC",208,907520,980984,6.49
24180,"Granbury, TX",96,383200,477376,23.9
24220,"Grand Forks, ND-MN",224,779912,787688,0.53
24260,"Grand Island, NE",152,546616,581808,5.67
24300,"Grand Junction, CO",232,935512,1173784,24.33
24340,"Grand Rapids-Wyoming, MI",1304,5924744,6193280,4.34
24380,"Grants, NM",56,204704,217704,3.85
24420,"Grants Pass, OR",128,605824,661704,7.46
24460,"Great Bend, KS",64,225600,221392,-1.62
24500,"Great Falls, MT",176,642872,650616,0.3
24540,"Greeley, CO",616,1446080,2022600,1257.28
24580,"Green Bay, WI",560,2259944,2449928,6.16
24620,"Greeneville, TN",120,503240,550648,10.95
24660,"Greensboro-High Point, NC",1344,5146904,5790408,15.46
24700,"Greensburg, IN",48,196440,205920,4.36
24740,"Greenville, MS",152,504312,409096,-19.88
24780,"Greenville, NC",288,1221632,1516080,25.65
24820,"Greenville, OH",96,426496,423672,-1.27
24860,"Greenville-Mauldin-Easley, SC",1248,4478384,5095888,13.36
24900,"Greenwood, MS",80,389616,343312,-14.25
24940,"Greenwood, SC",112,530456,557288,5.25
24980,"Grenada, MS",40,186184,175248,-7.55
25020,"Guayama, PR",160,668544,673712,0.41
25060,"Gulfport-Biloxi, MS",456,1968912,1990560,-1.56
25100,"Guymon, OK",40,160864,165120,-0.12
25180,"Hagerstown-Martinsburg, MD-WV",400,1781928,2153120,18.35
25220,"Hammond, LA",160,803840,968776,18.73
25260,"Hanford-Corcoran, CA",216,1035752,1223856,22
25300,"Hannibal, MO",88,303192,311584,2.69
25340,"Harriman, TN",88,415360,433448,3.66
25380,"Harrisburg, IL",72,214032,199304,-6.64
25420,"Harrisburg-Carlisle, PA",992,4072232,4395800,7.27
25460,"Harrison, AR",72,340360,361864,5.65
25500,"Harrisonburg, VA",240,865728,1001824,18.51
25540,"Hartford-West Hartford-East Hartford, CT",2320,9189320,9699048,6.48
25580,"Hastings, NE",88,305488,303248,-2.1
25620,"Hattiesburg, MS",224,991400,1142736,12.83
25660,"Havre, MT",48,133384,128768,-3.02
25700,"Hays, KS",48,220048,227616,3.45
25720,"Heber, UT",32,121648,188240,52.1
25740,"Helena, MT",136,526000,598408,14.75
25760,"Helena-West Helena, AR",48,211504,174056,-21.03
25780,"Henderson, NC",80,343640,363376,3.54
25820,"Hereford, TX",32,148520,154976,4.26
25860,"Hickory-Lenoir-Morganton, NC",584,2734792,2923976,7.01
25900,"Hilo, HI",400,1189128,1480632,15.91
25940,"Hilton Head Island-Beaufort, SC",368,1132816,1496080,89.52
25980,"Hinesville-Fort Stewart, GA",144,575472,623336,6.91
26020,"Hobbs, NM",144,444232,517816,17.99
26100,"Holland-Grand Haven, MI",432,1907280,2110408,11.63
26140,"Homosassa Springs, FL",224,944824,1129888,20.42
26180,"Honolulu, HI",1952,7009416,7625656,790.13
26220,"Hood River, OR",32,163256,178768,9.03
26260,"Hope, AR",64,268256,252848,-6.35
26300,"Hot Springs, AR",160,705048,768192,6.56
26340,"Houghton, MI",120,306504,310272,0.56
26380,"Houma-Bayou Cane-Thibodaux, LA",368,1556136,1665424,6.19
26420,"Houston-Sugar Land-Baytown, TX",8608,37725728,47574400,145.81
26460,"Hudson, NY",168,504592,504768,1.58
26480,"Humboldt, TN",112,384648,397464,3.49
26500,"Huntingdon, PA",96,364848,367304,1.16
26540,"Huntington, IN",72,304648,296992,-2.78
26580,"Huntington-Ashland, WV-KY-OH",624,2309296,2301616,-0.86
26620,"Huntsville, AL",712,2741288,3340744,19.32
26660,"Huntsville, TX",80,494104,542888,10.68
26700,"Huron, SD",48,136216,139184,1.4
26740,"Hutchinson, KS",136,518376,516088,-0.84
26780,"Hutchinson, MN",56,279328,293208,4.57
26820,"Idaho Falls, ID",200,813312,1042992,31.15
26860,"Indiana, PA",184,716584,711040,-1.38
26900,"Indianapolis-Carmel, IN",2880,12201000,14049928,13.07
26940,"Indianola, MS",56,275056,235600,-14.35
26980,"Iowa City, IA",232,1053296,1220688,12.96
27020,"Iron Mountain, MI-WI",72,260384,244728,-6.63
27060,"Ithaca, NY",184,771904,812512,6.4
27100,"Jackson, MI",304,1267408,1281984,1.72
27140,"Jackson, MS",984,3978144,4312456,10.21
27180,"Jackson, TN",240,859560,923400,4.81
27220,"Jackson, WY-ID",40,194088,251712,24.82
27260,"Jacksonville, FL",2096,8982680,10764768,25.53
27300,"Jacksonville, IL",96,337312,327216,-2.41
27340,"Jacksonville, NC",256,1203280,1422176,16.07
27380,"Jacksonville, TX",96,373696,406760,8.48
27420,"Jamestown, ND",48,175296,168800,-2.23
27460,"Jamestown-Dunkirk-Fredonia, NY",288,1117624,1079240,-3.08
27500,"Janesville, WI",304,1218504,1282648,4.52
27540,"Jasper, IN",88,422536,437872,3.07
27580,"Jayuya, PR",24,138472,133136,-4.93
27620,"Jefferson City, MO",248,1120392,1198456,6.83
27660,"Jennings, LA",56,251472,252752,-0.18
27700,"Jesup, GA",48,212568,240792,13.91
27740,"Johnson City, TN",352,1452720,1589728,8.36
27780,"Johnstown, PA",336,1220512,1149432,-6.92
27860,"Jonesboro, AR",192,862024,968208,11.31
27900,"Joplin, MO",272,1258424,1404144,10.43
27940,"Juneau, AK",48,245632,250200,2.28
27980,"Kahului-Wailuku, HI",304,1024720,1238672,18.68
28020,"Kalamazoo-Portage, MI",584,2518680,2612712,2.49
28060,"Kalispell, MT",152,596056,727424,20.13
28100,"Kankakee-Bradley, IL",232,830600,907592,10.33
28140,"Kansas City, MO-KS",4280,14692600,16282672,36.93
28180,"Kapaa, HI",136,467552,536728,10.48
28260,"Kearney, NE",104,392976,420728,6.3
28300,"Keene, NH",128,590472,616936,4.3
28340,"Kendallville, IN",80,371744,380288,1.89
28380,"Kennett, MO",80,265472,255624,-3.89
28420,"Kennewick-Pasco-Richland, WA",400,1534824,2026720,288.64
28500,"Kerrville, TX",80,349168,397000,13.07
28540,"Ketchikan, AK",32,112592,107816,-4.41
28580,"Key West, FL",248,636816,584720,-9.89
28620,"Kill Devil Hills, NC",88,239672,271360,9.46
28660,"Killeen-Temple-Fort Hood, TX",712,2645744,3242400,194.69
28700,"Kingsport-Bristol-Bristol, TN-VA",600,2388440,2476352,3.84
28740,"Kingston, NY",376,1421816,1459944,1.98
28780,"Kingsville, TX",64,256192,259816,1.05
28820,"Kinston, NC",120,477144,475960,-3.06
28860,"Kirksville, MO",72,233136,240304,2.8
28900,"Klamath Falls, OR",160,510168,531040,3.99
28940,"Knoxville, TN",1376,4928944,5584240,14.32
28980,"Kodiak, AK",40,111328,108736,-6.95
29020,"Kokomo, IN",192,812496,789504,-2.94
29060,"Laconia, NH",120,450128,480704,5.99
29100,"La Crosse, WI-MN",240,1015048,1069320,4.06
29140,"Lafayette, IN",376,1428400,1614312,12.62
29180,"Lafayette, LA",432,1910192,2189904,10.86
29220,"La Follette, TN",88,318680,325728,2.38
29260,"La Grande, OR",64,196176,205984,5.77
29300,"LaGrange, GA",112,470072,536352,15.81
29340,"Lake Charles, LA",376,1548560,1596856,-0.95
29380,"Lake City, FL",96,451304,540248,18.65
29420,"Lake Havasu City-Kingman, AZ",344,1239800,1601488,28.15
29460,"Lakeland-Winter Haven, FL",1232,3871096,4816760,34.28
29500,"Lamesa, TX",32,119896,110664,-8.5
29540,"Lancaster, PA",784,3766256,4155560,10.34
29580,"Lancaster, SC",112,491176,613216,29.67
